Month,SKU_ID,Branch_ID,Demand,Inventory,Stockout_Flag,Holiday_Flag,Fuel_Cost_Index,Industrial_Index,Effective_Lead_Time
2023-01,10001,BLR01,116,110,1,0,0.95,97.56,8
2023-02,10001,BLR01,115,129,0,0,1.04,112.94,8
2023-03,10001,BLR01,157,101,1,0,0.97,98.85,8
2023-04,10001,BLR01,119,93,1,0,0.94,97.41,8
2023-05,10001,BLR01,100,105,0,0,1.05,105.07,8
2023-06,10001,BLR01,101,114,0,0,1.22,107.56,8
2023-07,10001,BLR01,97,90,1,0,1.2,98.69,8
2023-08,10001,BLR01,69,69,0,0,1.09,107.37,8
2023-09,10001,BLR01,64,35,1,0,1.2,95.73,8
2023-10,10001,BLR01,86,78,1,0,1.26,105.23,8
2023-11,10001,BLR01,75,115,0,1,1.08,105.65,8
2023-12,10001,BLR01,92,81,1,1,1.05,95.4,8
2024-01,10001,BLR01,105,89,1,0,1.03,97.4,8
2024-02,10001,BLR01,131,144,0,0,1.17,110.78,8
2024-03,10001,BLR01,122,112,1,0,1.11,106.74,8
2024-04,10001,BLR01,123,168,0,0,0.95,100.68,8
2024-05,10001,BLR01,134,66,1,0,1.13,102.12,8
2024-06,10001,BLR01,102,117,0,0,0.99,97.04,8
2024-07,10001,BLR01,81,90,0,0,0.96,98.73,8
2024-08,10001,BLR01,66,93,0,0,1.26,96.6,8
2024-09,10001,BLR01,41,136,0,0,1.29,97.24,8
2024-10,10001,BLR01,80,109,0,0,1.25,111.34,8
2024-11,10001,BLR01,78,94,0,1,1.17,113.59,8
2024-12,10001,BLR01,127,169,0,1,1.01,110.39,8
2025-01,10001,BLR01,111,77,1,0,1.07,105.15,8
2025-02,10001,BLR01,123,101,1,0,1.14,100.77,8
2025-03,10001,BLR01,119,122,0,0,1.09,105.65,8
2025-04,10001,BLR01,127,98,1,0,0.95,96.27,8
2025-05,10001,BLR01,110,139,0,0,1.17,110.2,8
2025-06,10001,BLR01,107,197,0,0,1.06,101.98,11
2025-07,10001,BLR01,102,115,0,0,0.97,96.33,11
2025-08,10001,BLR01,81,168,0,0,1.24,97.8,8
2025-09,10001,BLR01,64,133,0,0,0.97,98.29,8
2025-10,10001,BLR01,82,148,0,0,1.11,102.18,8
2025-11,10001,BLR01,83,145,0,1,1.23,103.78,8
2025-12,10001,BLR01,94,34,1,1,1.02,109.95,8
2023-01,10001,HYD01,210,257,0,0,1.06,105.64,8
2023-02,10001,HYD01,227,272,0,0,1.03,109.61,8
2023-03,10001,HYD01,252,240,1,0,1.25,104.91,8
2023-04,10001,HYD01,260,278,0,0,1.3,110.05,8
2023-05,10001,HYD01,244,247,0,0,0.96,99.09,8
2023-06,10001,HYD01,201,287,0,0,1.2,97.06,8
2023-07,10001,HYD01,145,246,0,0,1.08,107.08,8
2023-08,10001,HYD01,188,229,0,0,1.09,103.18,8
2023-09,10001,HYD01,157,292,0,0,1.19,106.98,8
2023-10,10001,HYD01,135,198,0,0,1.07,100.76,8
2023-11,10001,HYD01,181,230,0,1,0.96,97.02,8
2023-12,10001,HYD01,212,189,1,1,1.14,97.04,8
2024-01,10001,HYD01,225,268,0,0,0.93,96.55,8
2024-02,10001,HYD01,247,205,1,0,0.97,111.75,8
2024-03,10001,HYD01,248,184,1,0,0.99,107.16,8
2024-04,10001,HYD01,271,198,1,0,0.98,110.76,8
2024-05,10001,HYD01,221,231,0,0,1.07,112.27,8
2024-06,10001,HYD01,201,250,0,0,1.09,113.37,8
2024-07,10001,HYD01,166,225,0,0,1.27,99.96,8
2024-08,10001,HYD01,135,232,0,0,0.91,101.23,8
2024-09,10001,HYD01,133,254,0,0,0.99,99.25,8
2024-10,10001,HYD01,155,223,0,0,1.08,106.15,8
2024-11,10001,HYD01,173,262,0,1,0.97,100.99,8
2024-12,10001,HYD01,192,166,1,1,1.07,111.0,8
2025-01,10001,HYD01,227,148,1,0,1.15,102.55,8
2025-02,10001,HYD01,258,263,0,0,1.02,109.28,8
2025-03,10001,HYD01,292,290,1,0,1.09,104.94,8
2025-04,10001,HYD01,250,231,1,0,1.03,96.51,8
2025-05,10001,HYD01,222,254,0,0,1.26,105.53,8
2025-06,10001,HYD01,249,146,1,0,1.0,98.92,11
2025-07,10001,HYD01,233,227,1,0,1.04,106.39,11
2025-08,10001,HYD01,151,256,0,0,1.19,111.11,8
2025-09,10001,HYD01,142,224,0,0,1.22,114.25,8
2025-10,10001,HYD01,129,191,0,0,0.93,107.66,8
2025-11,10001,HYD01,180,239,0,1,0.95,112.53,8
2025-12,10001,HYD01,218,256,0,1,1.26,107.5,8
2023-01,10001,CHN01,72,28,1,0,1.14,100.36,8
2023-02,10001,CHN01,73,138,0,0,1.12,103.72,8
2023-03,10001,CHN01,94,74,1,0,1.21,97.8,8
2023-04,10001,CHN01,88,116,0,0,1.26,111.0,8
2023-05,10001,CHN01,76,75,1,0,1.01,105.83,8
2023-06,10001,CHN01,54,103,0,0,0.96,111.7,8
2023-07,10001,CHN01,60,89,0,0,0.97,100.45,8
2023-08,10001,CHN01,54,43,1,0,1.01,106.08,8
2023-09,10001,CHN01,61,94,0,0,0.98,95.22,8
2023-10,10001,CHN01,55,111,0,0,1.14,108.3,8
2023-11,10001,CHN01,37,32,1,1,1.11,95.94,8
2023-12,10001,CHN01,76,52,1,1,0.93,107.06,8
2024-01,10001,CHN01,73,28,1,0,1.02,102.11,8
2024-02,10001,CHN01,76,114,0,0,1.13,104.52,8
2024-03,10001,CHN01,97,83,1,0,1.19,99.3,8
2024-04,10001,CHN01,81,81,0,0,1.1,106.94,8
2024-05,10001,CHN01,94,52,1,0,0.94,96.5,8
2024-06,10001,CHN01,70,139,0,0,1.18,103.7,8
2024-07,10001,CHN01,68,57,1,0,1.22,108.89,8
2024-08,10001,CHN01,59,22,1,0,1.04,96.83,8
2024-09,10001,CHN01,48,99,0,0,0.97,105.84,8
2024-10,10001,CHN01,56,98,0,0,1.22,108.18,8
2024-11,10001,CHN01,70,93,0,1,1.0,104.79,8
2024-12,10001,CHN01,75,84,0,1,0.97,106.36,8
2025-01,10001,CHN01,68,114,0,0,1.27,114.42,8
2025-02,10001,CHN01,88,101,0,0,1.24,111.89,8
2025-03,10001,CHN01,102,59,1,0,0.91,106.93,8
2025-04,10001,CHN01,83,66,1,0,0.93,108.93,8
2025-05,10001,CHN01,96,46,1,0,0.93,101.31,8
2025-06,10001,CHN01,100,84,1,0,1.03,107.52,11
