Month,SKU_ID,Branch_ID,Demand,Inventory,Stockout_Flag,Holiday_Flag,Fuel_Cost_Index,Industrial_Index,Effective_Lead_Time,Category,ABC_Class,Supplier_ID,Unit_Price,Unit_Cost,Lead_Time,Supplier_Risk,Region,Warehouse_Capacity,Transport_Cost_Index,month_num,quarter,year,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,inventory_ratio,demand_growth_rate,Branch_ID_ENC,Prediction,Margin,Available_Inventory,Stockout_Penalty,Risk_Penalty,Transport_Penalty,Optimized_Allocation
2025-12-01,10001,AMD01,118,156,0,1,0.98,112.6,8,4,1,4,248.88,143.1,8,0.45,3,19000,0.98,12,4,2025,106.0,92.0,103.0,156.0,112.0,100.33333333333331,7.371114795831953,109.83333333333331,24.11983968990389,1.3109243697478992,0.1132075471698113,0,116.70676,105.78,128.37743600000002,26.445,4.5,1.96,116.70676
2025-12-01,10001,BLR01,94,34,1,1,1.02,109.95,8,4,1,4,248.88,143.1,8,0.45,2,25000,1.0,12,4,2025,83.0,82.0,64.0,107.0,127.0,76.33333333333333,10.692676621563637,86.5,15.681198933755104,0.3578947368421052,0.1325301204819278,1,99.241905,105.78,109.16609550000001,26.445,4.5,2.0,99.241905
2025-12-01,10001,CHN01,58,50,1,1,0.92,95.36,8,4,1,4,248.88,143.1,8,0.45,2,21000,1.08,12,4,2025,54.0,46.0,43.0,100.0,75.0,47.666666666666664,5.686240703077329,61.333333333333336,21.46314670934033,0.847457627118644,0.0740740740740741,2,59.847057,105.78,65.8317627,26.445,4.5,2.16,59.847057
2025-12-01,10001,DEL01,232,262,0,1,1.17,111.19,8,4,1,4,248.88,143.1,8,0.45,1,30000,1.15,12,4,2025,194.0,153.0,160.0,250.0,221.0,169.0,21.931712199461284,191.0,37.2343927035207,1.1244635193133048,0.1958762886597937,3,231.17435,105.78,254.29178500000003,26.445,4.5,2.3,231.17435
2025-12-01,10001,HYD01,218,256,0,1,1.26,107.5,8,4,1,4,248.88,143.1,8,0.45,2,22000,1.05,12,4,2025,180.0,129.0,142.0,249.0,192.0,150.33333333333334,26.501572280401263,180.66666666666663,49.90657939256781,1.1689497716894977,0.211111111111111,4,212.88719,105.78,234.17590900000002,26.445,4.5,2.1,212.88719
2025-12-01,10001,KOL01,217,175,1,1,1.11,103.52,8,4,1,4,248.88,143.1,8,0.45,0,20000,1.12,12,4,2025,177.0,145.0,146.0,238.0,204.0,156.0,18.19340539866026,173.5,35.84829145161585,0.8027522935779816,0.2259887005649716,5,215.12744,105.78,236.64018400000003,26.445,4.5,2.24,215.12744
2025-12-01,10001,MUM01,148,155,0,1,0.91,109.73,8,4,1,4,248.88,143.1,8,0.45,3,28000,1.2,12,4,2025,111.0,113.0,106.0,185.0,155.0,110.0,3.6055512754640793,126.0,32.98484500494142,1.0402684563758389,0.3333333333333332,6,150.12254,105.78,165.134794,26.445,4.5,2.4,150.12254
2025-12-01,10001,PUN01,130,104,1,1,1.11,95.36,8,4,1,4,248.88,143.1,8,0.45,3,23000,1.02,12,4,2025,98.0,88.0,70.0,150.0,129.0,85.33333333333333,14.18919776919514,106.5,28.994827124851145,0.7938931297709924,0.3265306122448979,7,128.42816,105.78,141.270976,26.445,4.5,2.04,128.42816
2025-12-01,10002,AMD01,113,82,1,1,1.02,105.83,6,5,0,5,111.45,74.29,6,0.92,3,19000,0.98,12,4,2025,70.0,73.0,92.0,114.0,75.0,78.33333333333333,11.93035344544887,88.5,15.871357849913176,0.7192982456140351,0.6142857142857143,0,108.35711,37.16,119.19282100000001,9.29,9.200000000000001,1.96,108.35711
2025-12-01,10002,BLR01,95,84,1,1,1.04,114.56,6,5,0,5,111.45,74.29,6,0.92,2,25000,1.0,12,4,2025,96.0,100.0,82.0,101.0,77.0,92.66666666666669,9.45163125250523,97.0,7.949842765740609,0.875,-0.0104166666666666,1,95.77001,37.16,105.34701100000001,9.29,9.200000000000001,2.0,95.77001
2025-12-01,10002,CHN01,208,93,1,1,1.18,108.77,6,5,0,5,111.45,74.29,6,0.92,2,21000,1.08,12,4,2025,192.0,205.0,178.0,211.0,153.0,191.66666666666663,13.503086067019392,200.0,13.813037319865405,0.4449760765550239,0.0833333333333332,2,207.93848,37.16,228.73232800000002,9.29,9.200000000000001,2.16,207.93848
2025-12-01,10002,DEL01,299,279,1,1,1.23,105.31,6,5,0,5,111.45,74.29,6,0.92,1,30000,1.15,12,4,2025,289.0,308.0,299.0,339.0,274.0,298.6666666666667,9.504384952922152,310.1666666666667,21.47944754100233,0.93,0.0346020761245675,3,303.83502,37.16,334.218522,9.29,9.200000000000001,2.3,303.83502
2025-12-01,10002,HYD01,182,115,1,1,0.93,99.53,6,5,0,5,111.45,74.29,6,0.92,2,22000,1.05,12,4,2025,171.0,163.0,179.0,178.0,151.0,171.0,7.999999999999961,175.0,7.874007874011685,0.6284153005464481,0.064327485380117,4,181.81224,37.16,199.99346400000002,9.29,9.200000000000001,2.1,181.81224
2025-12-01,10002,KOL01,317,227,1,1,1.06,100.29,6,5,0,5,111.45,74.29,6,0.92,0,20000,1.12,12,4,2025,330.0,333.0,322.0,360.0,296.0,328.3333333333333,5.68624070307719,341.1666666666667,17.99351735116493,0.7138364779874213,-0.0393939393939394,5,316.53238,37.16,348.18561800000003,9.29,9.200000000000001,2.24,316.53238
2025-12-01,10002,MUM01,341,261,1,1,0.99,99.93,6,5,0,5,111.45,74.29,6,0.92,3,28000,1.2,12,4,2025,349.0,349.0,346.0,400.0,326.0,348.0,1.7320508075695624,359.3333333333333,25.75784670089178,0.7631578947368421,-0.0229226361031518,6,323.8485,37.16,356.23335000000003,9.29,9.200000000000001,2.4,323.8485
2025-12-01,10002,PUN01,320,192,1,1,0.96,109.2,6,5,0,5,111.45,74.29,6,0.92,3,23000,1.02,12,4,2025,322.0,337.0,328.0,364.0,309.0,329.0,7.549834435270848,338.3333333333333,22.580227338684356,0.5981308411214953,-0.0062111801242236,7,327.74728,37.16,360.522008,9.29,9.200000000000001,2.04,327.74728
2025-12-01,10003,AMD01,78,136,0,1,1.15,111.17,13,4,2,0,55.98,39.73,13,0.6,3,19000,0.98,12,4,2025,67.0,62.0,71.0,121.0,77.0,66.66666666666667,4.509249752822882,79.66666666666667,22.087703970007137,1.7215189873417722,0.1641791044776119,0,77.21156,16.25,84.93271600000001,4.0625,6.0,1.96,77.21156
2025-12-01,10003,BLR01,195,160,1,1,1.23,110.56,13,4,2,0,55.98,39.73,13,0.6,2,25000,1.0,12,4,2025,164.0,139.0,122.0,201.0,190.0,141.66666666666666,21.1266025033211,154.66666666666666,31.05908348078978,0.8163265306122449,0.1890243902439023,1,192.18376,16.25,211.402136,4.0625,6.0,2.0,192.18376
2025-12-01,10003,CHN01,55,116,0,1,1.24,113.94,13,4,2,0,55.98,39.73,13,0.6,2,21000,1.08,12,4,2025,65.0,69.0,57.0,83.0,92.0,63.666666666666664,6.110100926607811,68.83333333333333,12.464616587230758,2.0714285714285716,-0.1538461538461538,2,55.322803,16.25,60.855083300000004,4.0625,6.0,2.16,55.322803
2025-12-01,10003,DEL01,173,220,0,1,1.21,101.15,13,4,2,0,55.98,39.73,13,0.6,1,30000,1.15,12,4,2025,121.0,138.0,129.0,184.0,173.0,129.33333333333334,8.504900548115453,136.83333333333334,28.784833969760147,1.264367816091954,0.4297520661157024,3,177.21959,16.25,194.94154900000004,4.0625,6.0,2.3,177.21959
2025-12-01,10003,HYD01,92,143,0,1,0.96,104.57,13,4,2,0,55.98,39.73,13,0.6,2,22000,1.05,12,4,2025,53.0,56.0,72.0,83.0,77.0,60.333333333333336,10.214368964029733,64.33333333333333,14.678782874157632,1.5376344086021505,0.7358490566037736,4,91.058235,16.25,100.16405850000001,4.0625,6.0,2.1,91.058235
2025-12-01,10003,KOL01,187,206,0,1,1.11,99.54,13,4,2,0,55.98,39.73,13,0.6,0,20000,1.12,12,4,2025,128.0,108.0,134.0,178.0,184.0,123.33333333333331,13.613718571108157,140.16666666666666,25.600130208002188,1.0957446808510638,0.4609375,5,185.70976,16.25,204.280736,4.0625,6.0,2.24,185.70976
2025-12-01,10003,MUM01,209,277,0,1,0.93,114.85,13,4,2,0,55.98,39.73,13,0.6,3,28000,1.2,12,4,2025,176.0,177.0,144.0,241.0,222.0,165.66666666666666,18.770544300401447,184.0,38.14708376796318,1.319047619047619,0.1875,6,206.58537,16.25,227.24390700000004,4.0625,6.0,2.4,206.58537
2025-12-01,10003,PUN01,185,186,0,1,1.28,103.88,13,4,2,0,55.98,39.73,13,0.6,3,23000,1.02,12,4,2025,153.0,130.0,113.0,193.0,174.0,132.0,20.074859899884824,144.5,32.77041348533751,1.0,0.2091503267973855,7,183.02951,16.25,201.332461,4.0625,6.0,2.04,183.02951
2025-12-01,10004,AMD01,328,269,1,1,1.2,109.93,13,0,0,11,21.36,13.23,13,0.38,3,19000,0.98,12,4,2025,343.0,346.0,323.0,384.0,293.0,337.3333333333333,12.503332889007408,351.3333333333333,25.53951187212924,0.817629179331307,-0.043731778425656,0,315.17163,8.129999999999999,346.68879300000003,2.0324999999999998,3.8,1.96,315.17163
2025-12-01,10004,BLR01,342,256,1,1,1.29,102.38,13,0,0,11,21.36,13.23,13,0.38,2,25000,1.0,12,4,2025,349.0,337.0,337.0,375.0,297.0,341.0,6.928203230275593,352.3333333333333,20.578305728768576,0.7463556851311953,-0.0200573065902578,1,325.8298,8.129999999999999,358.41278,2.0324999999999998,3.8,2.0,325.8298
2025-12-01,10004,CHN01,291,245,1,1,0.92,109.52,13,0,0,11,21.36,13.23,13,0.38,2,21000,1.08,12,4,2025,311.0,309.0,289.0,350.0,268.0,303.0,12.16552506059648,314.3333333333333,26.333755270881134,0.839041095890411,-0.0643086816720257,2,294.9575,8.129999999999999,324.45325,2.0324999999999998,3.8,2.16,294.9575
2025-12-01,10004,DEL01,193,152,1,1,1.1,110.3,13,0,0,11,21.36,13.23,13,0.38,1,30000,1.15,12,4,2025,182.0,191.0,189.0,219.0,181.0,187.33333333333337,4.725815626252564,199.0,24.811287753762507,0.7835051546391752,0.0604395604395604,3,193.98552,8.129999999999999,213.38407200000003,2.0324999999999998,3.8,2.3,193.98552
2025-12-01,10004,HYD01,205,101,1,1,1.04,97.97,13,0,0,11,21.36,13.23,13,0.38,2,22000,1.05,12,4,2025,205.0,185.0,186.0,220.0,177.0,192.0,11.269427669584632,197.33333333333337,14.665151436881262,0.4902912621359223,0.0,4,202.3079,8.129999999999999,222.53869,2.0324999999999998,3.8,2.1,202.3079
2025-12-01,10004,KOL01,131,158,0,1,1.26,97.93,13,0,0,11,21.36,13.23,13,0.38,0,20000,1.12,12,4,2025,138.0,134.0,129.0,129.0,112.0,133.66666666666666,4.509249752822882,138.0,13.65283853270078,1.196969696969697,-0.0507246376811594,5,130.34186,8.129999999999999,143.376046,2.0324999999999998,3.8,2.24,130.34186
2025-12-01,10004,MUM01,232,203,1,1,1.3,100.75,13,0,0,11,21.36,13.23,13,0.38,3,28000,1.2,12,4,2025,216.0,216.0,199.0,222.0,186.0,210.33333333333337,9.81495457622362,214.0,9.818350166906413,0.871244635193133,0.0740740740740741,6,229.93839,8.129999999999999,252.932229,2.0324999999999998,3.8,2.4,229.93839
2025-12-01,10004,PUN01,284,259,1,1,0.9,102.64,13,0,0,11,21.36,13.23,13,0.38,3,23000,1.02,12,4,2025,286.0,281.0,285.0,305.0,251.0,284.0,2.6457513110648376,294.8333333333333,26.29385225992304,0.9087719298245616,-0.0069930069930069,7,289.00525,8.129999999999999,317.905775,2.0324999999999998,3.8,2.04,289.00525
2025-12-01,10005,AMD01,188,144,1,1,1.18,109.22,4,2,1,8,170.26,119.92,4,0.82,3,19000,0.98,12,4,2025,151.0,167.0,183.0,213.0,168.0,167.0,15.999999999999991,182.33333333333337,22.250093632761832,0.7619047619047619,0.2450331125827813,0,187.96332,50.33999999999999,206.75965200000002,12.584999999999997,8.2,1.96,187.96332
2025-12-01,10005,BLR01,159,143,1,1,1.04,110.78,4,2,1,8,170.26,119.92,4,0.82,2,25000,1.0,12,4,2025,162.0,176.0,125.0,184.0,161.0,154.33333333333334,26.350205565295568,162.0,20.445048300260844,0.89375,-0.0185185185185184,1,158.26941,50.33999999999999,174.096351,12.584999999999997,8.2,2.0,158.26941
2025-12-01,10005,CHN01,80,183,0,1,1.28,108.47,4,2,1,8,170.26,119.92,4,0.82,2,21000,1.08,12,4,2025,102.0,117.0,94.0,124.0,91.0,104.33333333333331,11.676186592091316,109.33333333333331,10.652073350604883,2.259259259259259,-0.2156862745098039,2,79.64503,50.33999999999999,87.60953300000001,12.584999999999997,8.2,2.16,79.64503
2025-12-01,10005,DEL01,127,187,0,1,1.13,106.83,4,2,1,8,170.26,119.92,4,0.82,1,30000,1.15,12,4,2025,137.0,147.0,131.0,162.0,161.0,138.33333333333334,8.082903768654765,146.83333333333334,12.31936145531363,1.4609375,-0.072992700729927,3,128.42519,50.33999999999999,141.267709,12.584999999999997,8.2,2.3,128.42519
2025-12-01,10005,HYD01,96,139,0,1,1.01,110.35,4,2,1,8,170.26,119.92,4,0.82,2,22000,1.05,12,4,2025,93.0,85.0,77.0,119.0,93.0,85.0,7.999999999999972,93.0,14.14213562373096,1.4329896907216495,0.032258064516129,4,95.21188,50.33999999999999,104.733068,12.584999999999997,8.2,2.1,95.21188
2025-12-01,10005,KOL01,242,283,0,1,1.04,102.54,4,2,1,8,170.26,119.92,4,0.82,0,20000,1.12,12,4,2025,243.0,235.0,232.0,278.0,233.0,236.66666666666663,5.686240703077342,245.66666666666663,16.729215960907037,1.1646090534979423,-0.0041152263374485,5,240.65843,50.33999999999999,264.72427300000004,12.584999999999997,8.2,2.24,240.65843
2025-12-01,10005,MUM01,120,161,0,1,1.0,106.11,4,2,1,8,170.26,119.92,4,0.82,3,28000,1.2,12,4,2025,110.0,109.0,121.0,129.0,121.0,113.33333333333331,6.658328118479368,117.83333333333331,7.678975626127948,1.3305785123966942,0.0909090909090908,6,120.875046,50.33999999999999,132.96255060000001,12.584999999999997,8.2,2.4,120.87505
2025-12-01,10005,PUN01,99,139,0,1,1.2,99.19,4,2,1,8,170.26,119.92,4,0.82,3,23000,1.02,12,4,2025,101.0,82.0,100.0,124.0,102.0,94.33333333333331,10.692676621563631,103.83333333333331,13.847984209503824,1.39,-0.0198019801980198,7,98.76767,50.33999999999999,108.64443700000001,12.584999999999997,8.2,2.04,98.76767
2025-12-01,10006,AMD01,96,115,0,1,1.11,99.63,3,3,2,11,95.57,73.07,3,0.4,3,19000,0.98,12,4,2025,100.0,94.0,95.0,119.0,96.0,96.33333333333331,3.214550253664259,102.33333333333331,10.347302385968382,1.1855670103092784,-0.04,0,96.30199,22.5,105.93218900000001,5.625,4.0,1.96,96.30199
2025-12-01,10006,BLR01,256,269,0,1,1.04,103.5,3,3,2,11,95.57,73.07,3,0.4,2,25000,1.0,12,4,2025,245.0,249.0,249.0,278.0,245.0,247.66666666666663,2.3094010767590167,253.66666666666663,15.97080670056036,1.046692607003891,0.0448979591836735,1,255.48744,22.5,281.036184,5.625,4.0,2.0,255.48744
2025-12-01,10006,CHN01,226,268,0,1,1.24,100.98,3,3,2,11,95.57,73.07,3,0.4,2,21000,1.08,12,4,2025,220.0,223.0,212.0,266.0,225.0,218.33333333333337,5.686240703077414,232.83333333333337,22.346513523739382,1.1806167400881058,0.0272727272727273,2,226.2284,22.5,248.85124000000002,5.625,4.0,2.16,226.2284
2025-12-01,10006,DEL01,160,144,1,1,1.29,97.53,3,3,2,11,95.57,73.07,3,0.4,1,30000,1.15,12,4,2025,140.0,159.0,151.0,167.0,146.0,150.0,9.539392014169474,156.66666666666666,12.11060141639009,0.8944099378881988,0.1428571428571428,3,161.02917,22.5,177.132087,5.625,4.0,2.3,161.02917
2025-12-01,10006,HYD01,130,164,0,1,1.17,105.86,3,3,2,11,95.57,73.07,3,0.4,2,22000,1.05,12,4,2025,117.0,135.0,108.0,166.0,120.0,120.0,13.74772708486753,127.5,21.059439688652706,1.251908396946565,0.1111111111111111,4,127.02213,22.5,139.724343,5.625,4.0,2.1,127.02213
2025-12-01,10006,KOL01,160,132,1,1,1.18,106.17,3,3,2,11,95.57,73.07,3,0.4,0,20000,1.12,12,4,2025,149.0,152.0,159.0,181.0,154.0,153.33333333333334,5.131601439446886,168.16666666666666,19.12502723309604,0.8198757763975155,0.0738255033557047,5,159.36674,22.5,175.303414,5.625,4.0,2.24,159.36674
2025-12-01,10006,MUM01,227,245,0,1,1.01,99.19,3,3,2,11,95.57,73.07,3,0.4,3,28000,1.2,12,4,2025,239.0,241.0,241.0,268.0,216.0,240.33333333333337,1.154700538378868,248.0,11.798304963002082,1.0745614035087718,-0.0502092050209205,6,228.3552,22.5,251.19072000000003,5.625,4.0,2.4,228.3552
2025-12-01,10006,PUN01,85,52,1,1,0.98,112.53,3,3,2,11,95.57,73.07,3,0.4,3,23000,1.02,12,4,2025,87.0,105.0,90.0,93.0,108.0,94.0,9.643650760992946,95.5,10.11434624679222,0.6046511627906976,-0.0229885057471264,7,87.64351,22.5,96.40786100000001,5.625,4.0,2.04,87.64351
2025-12-01,10007,AMD01,81,87,0,1,1.1,110.37,13,2,0,6,61.15,42.33,13,0.5,3,19000,0.98,12,4,2025,82.0,93.0,99.0,97.0,98.0,91.33333333333331,8.621678104251716,95.5,8.19145896650897,1.0609756097560976,-0.0121951219512195,0,82.71664,18.82,90.988304,4.705,5.0,1.96,82.71664
2025-12-01,10007,BLR01,175,216,0,1,1.25,102.16,13,2,0,6,61.15,42.33,13,0.5,2,25000,1.0,12,4,2025,179.0,163.0,179.0,211.0,156.0,173.66666666666666,9.237604307034056,185.33333333333337,17.716282529545154,1.2272727272727273,-0.0223463687150837,1,175.0534,18.82,192.55874000000003,4.705,5.0,2.0,175.0534
2025-12-01,10007,CHN01,164,147,1,1,1.21,98.84,13,2,0,6,61.15,42.33,13,0.5,2,21000,1.08,12,4,2025,174.0,163.0,176.0,189.0,161.0,171.0,6.999999999999954,175.5,9.853933224860064,0.8909090909090909,-0.0574712643678161,2,165.63788,18.82,182.201668,4.705,5.0,2.16,165.63788
2025-12-01,10007,DEL01,121,107,1,1,1.02,109.51,13,2,0,6,61.15,42.33,13,0.5,1,30000,1.15,12,4,2025,135.0,124.0,153.0,137.0,138.0,137.33333333333334,14.640127503998508,138.66666666666666,10.930080817023583,0.8770491803278688,-0.1037037037037037,3,122.48288,18.82,134.731168,4.705,5.0,2.3,122.48288
